source_record_id,property_code,condition,normalized_value,measured_value,source_unit,normalized_value_si,measured_value_si,si_unit,source_url,source_locator,data_role
NCAMP-T2-1-011,F2tu_ksi,RTD,,9.29,ksi,,64052295.25353071,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-012,F2tu_ksi,ETW,,3.49,ksi,,24062702.953156322,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-013,E2t_Msi,CTD,,1.46,Msi,,10066345648.02528,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-014,E2t_Msi,RTD,,1.3,Msi,,8963184481.1184,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-015,E2t_Msi,ETW,,0.81,Msi,,5584753407.466081,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-016,F1cu_ksi,CTD,296.49,291.99,ksi,2044226589.8513803,2013200182.0321243,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-017,F1cu_ksi,RTD,248.94,251.13,ksi,1716380880.5612419,1731480399.03328,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-018,F1cu_ksi,ETD,201.93,199.5,ksi,1392258340.2094142,1375504079.987016,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-019,F1cu_ksi,ETW,173.0,172.58,ksi,1192793011.718064,1189897213.6549335,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-020,E1c_Msi,CTD,20.68,20.53,Msi,142583580822.71423,141549367228.73904,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
